School Name	Average Point Score	School Type
CATS Canterbury	29.41	Independent school
The Charles Dickens School	18.28	Foundation school
Chatham & Clarendon Grammar School	29.18	Academy converter - mainstream
Cobham Hall	35.05	Independent school
The Community College Whitstable	19.54	Community school
Cornwallis Academy	24.53	Sponsored academy
Cranbrook School	38.69	Academy converter - mainstream
The Abbey School	17.2	Academy converter - mainstream
Dane Court Grammar School	33.98	Academy converter - mainstream
Dartford Grammar School	42.77	Academy converter - mainstream
Dartford Grammar School for Girls	35.89	Foundation school
Dartford Science & Technology College	26.38	Foundation school
Dover Christ Church Academy	20.9	Sponsored academy
Dover College	29.29	Independent school
Dover Grammar School for Boys	28.83	Foundation school
Dover Grammar School for Girls	35.29	Community school
Duke of York's Royal Military School	22.76	Sponsored academy
Earlscliffe (Sussex Summer Schools Ltd)	35.02	Independent school
East Kent College	29.72	General Further Education College
The Ebbsfleet Academy	29.72	Sponsored academy
Focus School - Linton Park Campus	26.57	Independent school
Folkestone Academy	26.63	Sponsored academy
The Folkestone School for Girls	33.48	Academy converter - mainstream
Fulston Manor School	23.26	Academy converter - mainstream
Gravesend Grammar School	33.13	Academy converter - mainstream
Hadlow College	29.72	Agriculture and Horticulture College
The Archbishop's School	20.07	Foundation school
Hartsdown Academy	12.38	Academy converter - mainstream
The Harvey Grammar School	31.94	Academy converter - mainstream
The Hayesbrook School	24.57	Academy converter - mainstream
Herne Bay High School	21.87	Academy converter - mainstream
High Weald Academy	19.7	Sponsored academy
Highsted Grammar School	35.9	Academy converter - mainstream
Highworth Grammar School	40.35	Academy converter - mainstream
Hillview School for Girls	27.16	Academy converter - mainstream
The Holmesdale School	16.82	Foundation school
Homewood School and Sixth Form Centre	27.23	Academy converter - mainstream
Hugh Christie Technology College	23.3	Foundation school
Ashford School	40.32	Independent school
Ifield School	29.72	Foundation special school
Invicta Grammar School	36.65	Academy converter - mainstream
The John Wallis Church of England Academy	20.42	Sponsored academy
The Malling School	11.74	Foundation school
The Maplesden Noakes School	23.66	Academy converter - mainstream
The Marsh Academy	18.08	Sponsored academy
Mascalls Academy	26.87	Academy converter - mainstream
Mayfield Grammar School, Gravesend	31.13	Academy converter - mainstream
Meopham School	25.22	Sponsored academy
New Line Learning Academy	29.72	Sponsored academy
North Kent College	29.72	General Further Education College
The North School	21.37	Community school
Northfleet School for Girls	20.15	Foundation school
Northfleet Technology College	16.83	Foundation school
Itchen College	27.5	Sixth Form College
King Edward VI School	43.62	Independent school
Richard Taunton Sixth Form College	24.41	Sixth Form College
St Anne's Catholic School	24.53	Academy converter - mainstream
Southampton City College	29.72	General Further Education College
Bitterne Park School	26.88	Community school
Frensham Heights School	34.09	Independent school
Fullbrook School	31.07	Academy converter - mainstream
George Abbot School	34.05	Academy converter - mainstream
Glyn School	33.52	Academy converter - mainstream
Godalming College	33.87	Sixth Form College
Gordon's School	40.95	Academy converter - mainstream
Greenacre School for Girls	38.2	Independent school
Guildford College of Further and Higher Education	27.4	General Further Education College
Guildford County School	34.55	Academy converter - mainstream
Guildford High School	50.56	Independent school
Halliford School	32.81	Independent school
Heathside School	35.65	Academy converter - mainstream
Hinchley Wood School	33.61	Academy converter - mainstream
Hoe Valley School	29.72	Free school - mainstream
The Ashcombe School	31.31	Community school
Howard of Effingham School	32.89	Academy converter - mainstream
Hurtwood House School	44.26	Independent school
King Edward's School Witley	36.53	Independent school
Kings College Guildford	13.24	Sponsored academy
Lingfield Notre Dame	40.86	Independent school
North East Surrey College of Technology	29.72	General Further Education College
Notre Dame Senior School	37.32	Independent school
Oxted School	30.78	Academy converter - mainstream
The Beacon School	20.93	Academy converter - mainstream
Prior's Field School	36.97	Independent school
The Priory CofE Voluntary Aided School	29.44	Voluntary aided school
Reeds School	39.26	Independent school
Reigate College	31.68	Sixth Form College
Reigate Grammar School	45.24	Independent school
Rosebery School	35.35	Academy converter - mainstream
Royal Alexandra and Albert School	31.27	Voluntary aided school
Royal Grammar School	49.68	Independent school
The Royal School	39.48	Independent school
Rydens Enterprise School and Sixth Form College	26.8	Academy converter - mainstream
St Andrew's Catholic School	38.06	Voluntary aided school
St Bede's School	33.05	Voluntary aided school
St Catherine's School	45.69	Independent school
St George's College Weybridge	42.58	Independent school
St James Senior Boys' School	36.77	Independent school
St John the Baptist Catholic Comprehensive School, Woking	39.99	Voluntary aided school
St John's School, Leatherhead	42.43	Independent school
St Paul's Catholic College	30.16	Voluntary aided school
St Peter's Catholic School	31.89	Voluntary aided school
St Teresa's School	41.49	Independent school
Salesian School, Chertsey	36.13	Voluntary aided school
Sir William Perkins's School	41.46	Independent school
Strode's College	27.8	Sixth Form College
The Bishop Wand Church of England School	28.54	Academy converter - mainstream
Therfield School	25.27	Community school
Tomlinscote School and Sixth Form College	25.52	Academy converter - mainstream
Tormead School	45.42	Independent school
Blenheim High School	26.98	Academy converter - mainstream
Warlingham School	26.51	Academy converter - mainstream
Woking College	30.84	Sixth Form College
Woldingham School	43.39	Independent school
Woodfield School	29.72	Community special school
Yehudi Menuhin School	44.92	Independent school
Box Hill School	32.46	Independent school
Brooklands College	15.98	General Further Education College
Central Sussex College	28.61	General Further Education College
Chichester College	27.78	General Further Education College
Chichester Free School	29.72	Free school - mainstream
Chichester High School for Boys	24.61	Academy converter - mainstream
Chichester High School	32.68	Academy converter - mainstream
Christ's Hospital	39.35	Independent school
The College of Richard Collyer In Horsham	32.67	Sixth Form College
The Angmering School	28.34	Community school
Farlington School	32.36	Independent school
Felpham Community College	28.63	Community school
Ardingly College	43.11	Independent school
Hazelwick School	32.82	Academy converter - mainstream
Holy Trinity CofE Secondary School, Crawley	30.95	Voluntary aided school
Hurstpierpoint College	43.97	Independent school
Ifield Community College	22.48	Community school
Imberhorne School	30.45	Community school
Lancing College	40.7	Independent school
The Littlehampton Academy	28.05	Sponsored academy
Midhurst Rother College	30.07	Sponsored academy
Northbrook College, Sussex	26.43	General Further Education College
Oriel High School	27.22	Community school
Our Lady of Sion School	39.04	Independent school
The Regis School	25.36	Sponsored academy
Sackville School	31.86	Community school
St Paul's Catholic College	31.4	Voluntary aided school
The St Philip Howard Catholic High School	30.71	Voluntary aided school
St Wilfrid's Catholic Comprehensive School, Crawley	29.44	Voluntary aided school
Seaford College	27.29	Independent school
Shoreham Academy	25.63	Sponsored academy
The Sir Robert Woodard Academy	25.75	Sponsored academy
Brighton College	50.2	Independent school
Brighton Hove and Sussex Sixth Form College	35.82	Sixth Form College
Cardinal Newman Catholic School	30.22	Voluntary aided school
Winchester College	48.22	Independent school
Yateley School	27.7	Community school
Brockenhurst College	28.79	General Further Education College
Brockwood Park School	29.72	Independent school
The Burgate School and Sixth Form	28.8	Academy converter - mainstream
Christ The King College	28.93	Voluntary aided school
Cowes Enterprise College	25.45	Sponsored academy
The Isle of Wight College	27.27	General Further Education College
Isle of Wight Studio School	29.72	Free school - studio school
Medina College	27.16	Foundation school
Priory School	29.72	Independent school
Ryde Academy	18.91	Sponsored academy
Ryde School with Upper Chine	39.7	Independent school
Sandown Bay Academy	24.58	Sponsored academy
Carisbrooke College	25.88	Foundation school
Ark Charter Academy	29.72	Sponsored academy
Highbury College	26.57	General Further Education College
Portsmouth College	26.75	Sixth Form College
The Portsmouth Grammar School	43.1	Independent school
Portsmouth High School	40.64	Independent school
St John's College	33.02	Independent school
Caterham School	44.22	Independent school
All Hallows Catholic School	35.37	Voluntary aided school
Charterhouse	45.13	Independent school
Christ's College, Guildford	22.88	Voluntary aided school
City of London Freemen's School	44.56	Independent school
Claremont Fan Court School	37.85	Independent school
